,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
655,CAJAMARCA,CHOTA,LAJAS,2702,29,3,0.3478260869565217,0.3902439024390244,0.2272727272727273,1.59,0.358,1.47,0,0,0,0,0.01135,0.004,0.75,0.0,0.12,2,1,0.6
656,CAJAMARCA,CHOTA,LAJAS,2702,39,4,1.0,1.0,0.5882352941176472,1.59,0.358,1.47,0,0,0,0,0.01135,0.01,0.75,0.0,0.12,2,1,0.7
657,CAJAMARCA,CHOTA,LAJAS,2702,69,8,0.7368421052631579,0.7368421052631579,0.4137931034482759,1.59,0.358,1.47,0,0,0,0,0.01135,0.007,8.333333333333333e-05,0.0,0.12,2,1,0.6
658,CAJAMARCA,CHOTA,LAJAS,2702,87,9,0.9009009009009008,0.9621993127147768,0.8,1.59,0.358,1.47,1,1,0,0,0.01135,0.05,1.5,0.0,0.12,2,1,1.4
659,CAJAMARCA,CHOTA,LAJAS,2702,89,10,0.9558823529411764,0.975,0.4761904761904762,1.59,0.358,1.47,0,0,0,0,0.01135,0.0325,2.75,0.0,0.12,2,1,1.8
660,CAJAMARCA,CHOTA,LAJAS,2702,114,13,1.0,1.0,0.4444444444444444,1.59,0.358,1.47,0,0,0,0,0.01135,0.01,7.5e-05,0.0,0.12,1,1,0.6
661,CAJAMARCA,CONTUMAZA,CONTUMAZA,3818,29,5,1.0,1.0,0.9302325581395348,1.1300000000000001,0.32,1.47,1,0,0,0,0.00138,0.0138,0.345,0.0,0.0,2,1,0.6956521739130435
662,CAJAMARCA,CUTERVO,CUTERVO,2427,39,3,1.0,1.0,0.15151515151515152,1.6,0.49800000000000005,1.47,0,0,0,0,0.16949,0.0025,1.0,0.0,1.05,2,1,2.0
663,CAJAMARCA,CUTERVO,CUTERVO,2427,45,5,1.0,1.0,1.0,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.02,1.6666666666666667,0.0,1.05,2,1,1.25
664,CAJAMARCA,CUTERVO,CUTERVO,2427,101,12,1.0,1.0,0.7291666666666666,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.05,1.7142857142857144,0.0,1.05,2,1,1.3
665,CAJAMARCA,CUTERVO,CUTERVO,2446,2,1,1.0,1.0,0.9935897435897436,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.0272,1.1096774193548387,0.0,1.05,1,1,2.925
666,CAJAMARCA,CUTERVO,CUTERVO,2446,9,2,0.9989594172736732,0.9984639016897079,0.9881422924901184,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.024,1.216,0.0,1.05,1,2,0.8125
667,CAJAMARCA,CUTERVO,CUTERVO,2446,25,4,1.0,1.0,1.0,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.088,1.28,0.0,1.05,1,1,1.375
668,CAJAMARCA,CUTERVO,CUTERVO,2446,31,5,1.0,1.0,0.8035714285714286,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.0032,1.0666666666666669,0.0,1.05,1,1,1.3125
669,CAJAMARCA,CUTERVO,CUTERVO,2446,49,6,1.0,1.0,0.9976525821596244,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.0904,1.2611764705882351,0.0,1.05,1,1,2.125
670,CAJAMARCA,CUTERVO,CUTERVO,2446,66,7,1.0,1.0,1.0,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.024,1.12,0.0,1.05,1,1,1.25
671,CAJAMARCA,CUTERVO,CUTERVO,2446,76,8,1.0,1.0,1.0,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.008,1.2,0.0,1.05,1,1,1.25
672,CAJAMARCA,CUTERVO,CUTERVO,2446,95,9,1.0,1.0,0.4444444444444445,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.008,1.4,0.0,1.05,1,2,1.375
673,CAJAMARCA,CUTERVO,CUTERVO,2446,97,10,0.9993390614672836,0.9993269015032532,0.9946949602122016,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.1512,2.272,0.0,1.05,1,1,2.875
674,CAJAMARCA,CUTERVO,CUTERVO,2446,116,11,0.9795918367346941,0.9647779479326188,0.9433962264150942,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.0048,1.44,0.0,1.05,1,2,1.3125
675,CAJAMARCA,CUTERVO,CUTERVO,2446,124,12,0.9864944216089254,0.9813084112149532,0.8503401360544216,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.0336,1.44,0.0,1.05,1,1,1.4375
